INFO:root:Start fine tuning for 100 epochs.
INFO:root:Pre-trained model loaded: ../runs/[cifar100]_BS=256_LR=0.0002_eps=1/checkpoint_0500.pth.tar.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch 93	Top1 Train accuracy 58.1098518371582	Top1 Test accuracy: 56.8342170715332	Top5 test acc: 95.27516174316406
DEBUG:root:Epoch 94	Top1 Train accuracy 58.13336944580078	Top1 Test accuracy: 56.8928108215332	Top5 test acc: 95.30445861816406
DEBUG:root:Epoch 95	Top1 Train accuracy 58.157283782958984	Top1 Test accuracy: 56.9221076965332	Top5 test acc: 95.31422424316406
DEBUG:root:Epoch 96	Top1 Train accuracy 58.18319320678711	Top1 Test accuracy: 56.9318733215332	Top5 test acc: 95.33375549316406
DEBUG:root:Epoch 97	Top1 Train accuracy 58.22504806518555	Top1 Test accuracy: 56.969783782958984	Top5 test acc: 95.32398986816406
DEBUG:root:Epoch 98	Top1 Train accuracy 58.2270393371582	Top1 Test accuracy: 56.999080657958984	Top5 test acc: 95.33375549316406
DEBUG:root:Epoch 99	Top1 Train accuracy 58.242984771728516	Top1 Test accuracy: 56.989315032958984	Top5 test acc: 95.34352111816406
INFO:root:Evaluation has finished.

INFO:root:Model checkpoint and metadata has been saved at runs/FT/[cifar100-cifar10]_BS=256_LR=8e-05_FTeps=0.
